HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.hit_num,Input.dino1,Input.dino2,Input.dino3,Input.dino_obj1,Input.dino_obj1_width,Input.dino_obj2,Input.dino_obj2_width,Input.dino_trial_type,Input.dino_target_item,Input.dino_target_position,Input.dino_bet_position,Input.rocket1,Input.rocket2,Input.rocket3,Input.rocket_obj1,Input.rocket_obj1_width,Input.rocket_obj2,Input.rocket_obj2_width,Input.rocket_trial_type,Input.rocket_target_item,Input.rocket_target_position,Input.rocket_bet_position,Input.bear1,Input.bear2,Input.bear3,Input.bear_obj1,Input.bear_obj1_width,Input.bear_obj2,Input.bear_obj2_width,Input.bear_trial_type,Input.bear_target_item,Input.bear_target_position,Input.bear_bet_position,Input.robot1,Input.robot2,Input.robot3,Input.robot_obj1,Input.robot_obj1_width,Input.robot_obj2,Input.robot_obj2_width,Input.robot_trial_type,Input.robot_target_item,Input.robot_target_position,Input.robot_bet_position,Answer.bear1val,Answer.bear2val,Answer.bear_answer1,Answer.bear_answer2,Answer.dino1val,Answer.dino2val,Answer.dino_answer1,Answer.dino_answer2,Answer.robot1val,Answer.robot2val,Answer.robot_answer1,Answer.robot_answer2,Answer.rocket1val,Answer.rocket2val,Answer.rocket_answer1,Answer.rocket_answer2,Approve,Reject
227HIT3HVWAV3BC2JOH27720WYVDL7,21XF0OHOVR141QQOYQ02NECWAGT54H,Fun Language Game (PLEASE COMPLETE ONLY ONE HIT OF THIS TYPE),"Answer a few quick questions about groups of items. PLEASE DO ONLY ONE ""LANGUAGE GAME"" HIT!","psychology, language, game",$0.15 ,Tue Sep 04 17:54:52 GMT 2012,25,BatchId:900529;,3600,604800,Fri Sep 14 17:54:52 GMT 2012,,,21B85OZIZEHMT3VMKTH5KWP04P0BZS,1,Approved,Wed Sep 05 20:56:10 GMT 2012,Wed Sep 05 20:58:27 GMT 2012,Wed Sep 12 13:58:27 PDT 2012,Fri Sep 07 15:17:08 PDT 2012,,,137,100% (1/1),100% (1/1),100% (1/1),A,asian_tutu,asian_tutu,box_headband_bandana,bandana,80,headband,130,11,headband,right,right,antenna_tire,antenna_tire,box_antenna_window,window,65,antenna,70,13,window,right,left,box_hat_wand,fancy_scraper,hat_scraper,hat,150,wand,150,12,wand,left,right,cone_tummy,box_antler_tummy,antler_tummy,antler,75,tummy,75,23,antler,center,left,20,80,2,1,50,50,1,1,100,0,2,3,100,0,1,3,,
227HIT3HVWAV3BC2JOH27720WYVDL7,21XF0OHOVR141QQOYQ02NECWAGT54H,Fun Language Game (PLEASE COMPLETE ONLY ONE HIT OF THIS TYPE),"Answer a few quick questions about groups of items. PLEASE DO ONLY ONE ""LANGUAGE GAME"" HIT!","psychology, language, game",$0.15 ,Tue Sep 04 17:54:52 GMT 2012,25,BatchId:900529;,3600,604800,Fri Sep 14 17:54:52 GMT 2012,,,220SV7WGKCCV4E9C68UMNAPTN4DS2S,2,Approved,Wed Sep 05 19:32:31 GMT 2012,Wed Sep 05 19:34:23 GMT 2012,Wed Sep 12 12:34:23 PDT 2012,Fri Sep 07 15:16:34 PDT 2012,,,112,100% (1/1),100% (1/1),100% (1/1),A,asian_tutu,asian_tutu,box_headband_bandana,bandana,80,headband,130,11,headband,right,right,antenna_tire,antenna_tire,box_antenna_window,window,65,antenna,70,13,window,right,left,box_hat_wand,fancy_scraper,hat_scraper,hat,150,wand,150,12,wand,left,right,cone_tummy,box_antler_tummy,antler_tummy,antler,75,tummy,75,23,antler,center,left,20,80,2,1,20,80,1,1,20,80,2,3,20,80,1,3,,
227HIT3HVWAV3BC2JOH27720WYVDL7,21XF0OHOVR141QQOYQ02NECWAGT54H,Fun Language Game (PLEASE COMPLETE ONLY ONE HIT OF THIS TYPE),"Answer a few quick questions about groups of items. PLEASE DO ONLY ONE ""LANGUAGE GAME"" HIT!","psychology, language, game",$0.15 ,Tue Sep 04 17:54:52 GMT 2012,25,BatchId:900529;,3600,604800,Fri Sep 14 17:54:52 GMT 2012,,,23YS8SV7WGKCVORLZH139MHD8CPQ0M,3,Approved,Tue Sep 04 19:30:20 GMT 2012,Tue Sep 04 19:33:03 GMT 2012,Tue Sep 11 12:33:03 PDT 2012,Fri Sep 07 15:16:22 PDT 2012,,,163,100% (1/1),100% (1/1),100% (1/1),A,asian_tutu,asian_tutu,box_headband_bandana,bandana,80,headband,130,11,headband,right,right,antenna_tire,antenna_tire,box_antenna_window,window,65,antenna,70,13,window,right,left,box_hat_wand,fancy_scraper,hat_scraper,hat,150,wand,150,12,wand,left,right,cone_tummy,box_antler_tummy,antler_tummy,antler,75,tummy,75,23,antler,center,left,,100,2,1,,100,1,1,100,,2,3,100,,1,3,,
227HIT3HVWAV3BC2JOH27720WYVDL7,21XF0OHOVR141QQOYQ02NECWAGT54H,Fun Language Game (PLEASE COMPLETE ONLY ONE HIT OF THIS TYPE),"Answer a few quick questions about groups of items. PLEASE DO ONLY ONE ""LANGUAGE GAME"" HIT!","psychology, language, game",$0.15 ,Tue Sep 04 17:54:52 GMT 2012,25,BatchId:900529;,3600,604800,Fri Sep 14 17:54:52 GMT 2012,,,26TINMHGYQ4JMGGB2G6MLFO1H7AL8H,4,Approved,Wed Sep 05 07:52:01 GMT 2012,Wed Sep 05 07:54:18 GMT 2012,Wed Sep 12 00:54:18 PDT 2012,Fri Sep 07 15:17:02 PDT 2012,,,137,100% (1/1),100% (1/1),100% (1/1),A,asian_tutu,asian_tutu,box_headband_bandana,bandana,80,headband,130,11,headband,right,right,antenna_tire,antenna_tire,box_antenna_window,window,65,antenna,70,13,window,right,left,box_hat_wand,fancy_scraper,hat_scraper,hat,150,wand,150,12,wand,left,right,cone_tummy,box_antler_tummy,antler_tummy,antler,75,tummy,75,23,antler,center,left,5,95,2,1,50,50,1,1,50,50,2,3,99,1,1,3,,
227HIT3HVWAV3BC2JOH27720WYVDL7,21XF0OHOVR141QQOYQ02NECWAGT54H,Fun Language Game (PLEASE COMPLETE ONLY ONE HIT OF THIS TYPE),"Answer a few quick questions about groups of items. PLEASE DO ONLY ONE ""LANGUAGE GAME"" HIT!","psychology, language, game",$0.15 ,Tue Sep 04 17:54:52 GMT 2012,25,BatchId:900529;,3600,604800,Fri Sep 14 17:54:52 GMT 2012,,,26UDIPDOBDDPRIPWGZ4DEXMEMH40BA,5,Approved,Wed Sep 05 15:19:26 GMT 2012,Wed Sep 05 15:21:53 GMT 2012,Wed Sep 12 08:21:53 PDT 2012,Fri Sep 07 15:16:58 PDT 2012,,,147,100% (1/1),100% (1/1),100% (1/1),A,asian_tutu,asian_tutu,box_headband_bandana,bandana,80,headband,130,11,headband,right,right,antenna_tire,antenna_tire,box_antenna_window,window,65,antenna,70,13,window,right,left,box_hat_wand,fancy_scraper,hat_scraper,hat,150,wand,150,12,wand,left,right,cone_tummy,box_antler_tummy,antler_tummy,antler,75,tummy,75,23,antler,center,left,10,90,2,1,50,50,1,1,70,30,2,3,20,80,1,3,,
227HIT3HVWAV3BC2JOH27720WYVDL7,21XF0OHOVR141QQOYQ02NECWAGT54H,Fun Language Game (PLEASE COMPLETE ONLY ONE HIT OF THIS TYPE),"Answer a few quick questions about groups of items. PLEASE DO ONLY ONE ""LANGUAGE GAME"" HIT!","psychology, language, game",$0.15 ,Tue Sep 04 17:54:52 GMT 2012,25,BatchId:900529;,3600,604800,Fri Sep 14 17:54:52 GMT 2012,,,27MLRGNTBJ3M5635BUYNC2KKUY28UX,6,Approved,Wed Sep 05 07:42:21 GMT 2012,Wed Sep 05 07:44:13 GMT 2012,Wed Sep 12 00:44:13 PDT 2012,Fri Sep 07 15:16:31 PDT 2012,,,112,100% (1/1),100% (1/1),100% (1/1),A,asian_tutu,asian_tutu,box_headband_bandana,bandana,80,headband,130,11,headband,right,right,antenna_tire,antenna_tire,box_antenna_window,window,65,antenna,70,13,window,right,left,box_hat_wand,fancy_scraper,hat_scraper,hat,150,wand,150,12,wand,left,right,cone_tummy,box_antler_tummy,antler_tummy,antler,75,tummy,75,23,antler,center,left,20,80,2,1,40,60,1,1,70,30,2,3,85,15,1,3,,
227HIT3HVWAV3BC2JOH27720WYVDL7,21XF0OHOVR141QQOYQ02NECWAGT54H,Fun Language Game (PLEASE COMPLETE ONLY ONE HIT OF THIS TYPE),"Answer a few quick questions about groups of items. PLEASE DO ONLY ONE ""LANGUAGE GAME"" HIT!","psychology, language, game",$0.15 ,Tue Sep 04 17:54:52 GMT 2012,25,BatchId:900529;,3600,604800,Fri Sep 14 17:54:52 GMT 2012,,,291RNDWIOV1SQLT39Y7U73YGIY7HWQ,7,Approved,Wed Sep 05 13:29:54 GMT 2012,Wed Sep 05 13:32:28 GMT 2012,Wed Sep 12 06:32:28 PDT 2012,Fri Sep 07 15:17:02 PDT 2012,,,154,100% (1/1),100% (1/1),100% (1/1),A,asian_tutu,asian_tutu,box_headband_bandana,bandana,80,headband,130,11,headband,right,right,antenna_tire,antenna_tire,box_antenna_window,window,65,antenna,70,13,window,right,left,box_hat_wand,fancy_scraper,hat_scraper,hat,150,wand,150,12,wand,left,right,cone_tummy,box_antler_tummy,antler_tummy,antler,75,tummy,75,23,antler,center,left,40,60,2,1,40,60,1,1,60,40,2,3,40,60,1,3,,
227HIT3HVWAV3BC2JOH27720WYVDL7,21XF0OHOVR141QQOYQ02NECWAGT54H,Fun Language Game (PLEASE COMPLETE ONLY ONE HIT OF THIS TYPE),"Answer a few quick questions about groups of items. PLEASE DO ONLY ONE ""LANGUAGE GAME"" HIT!","psychology, language, game",$0.15 ,Tue Sep 04 17:54:52 GMT 2012,25,BatchId:900529;,3600,604800,Fri Sep 14 17:54:52 GMT 2012,,,2ABPPSI2KYEP4LV71PCMCWJ67Z1RL2,8,Approved,Wed Sep 05 09:04:08 GMT 2012,Wed Sep 05 09:06:13 GMT 2012,Wed Sep 12 02:06:13 PDT 2012,Fri Sep 07 15:16:59 PDT 2012,,,125,100% (1/1),100% (1/1),100% (1/1),A,asian_tutu,asian_tutu,box_headband_bandana,bandana,80,headband,130,11,headband,right,right,antenna_tire,antenna_tire,box_antenna_window,window,65,antenna,70,13,window,right,left,box_hat_wand,fancy_scraper,hat_scraper,hat,150,wand,150,12,wand,left,right,cone_tummy,box_antler_tummy,antler_tummy,antler,75,tummy,75,23,antler,center,left,80,20,2,1,50,50,1,1,30,70,2,3,10,90,1,3,,
227HIT3HVWAV3BC2JOH27720WYVDL7,21XF0OHOVR141QQOYQ02NECWAGT54H,Fun Language Game (PLEASE COMPLETE ONLY ONE HIT OF THIS TYPE),"Answer a few quick questions about groups of items. PLEASE DO ONLY ONE ""LANGUAGE GAME"" HIT!","psychology, language, game",$0.15 ,Tue Sep 04 17:54:52 GMT 2012,25,BatchId:900529;,3600,604800,Fri Sep 14 17:54:52 GMT 2012,,,2BKNQQ7Q6705KJQCJWS2ZQC4GCTBVN,9,Approved,Wed Sep 05 12:46:17 GMT 2012,Wed Sep 05 12:48:24 GMT 2012,Wed Sep 12 05:48:24 PDT 2012,Fri Sep 07 15:17:08 PDT 2012,,,127,100% (1/1),100% (1/1),100% (1/1),A,asian_tutu,asian_tutu,box_headband_bandana,bandana,80,headband,130,11,headband,right,right,antenna_tire,antenna_tire,box_antenna_window,window,65,antenna,70,13,window,right,left,box_hat_wand,fancy_scraper,hat_scraper,hat,150,wand,150,12,wand,left,right,cone_tummy,box_antler_tummy,antler_tummy,antler,75,tummy,75,23,antler,center,left,0,100,2,1,50,50,1,1,75,25,2,3,100,0,1,3,,
227HIT3HVWAV3BC2JOH27720WYVDL7,21XF0OHOVR141QQOYQ02NECWAGT54H,Fun Language Game (PLEASE COMPLETE ONLY ONE HIT OF THIS TYPE),"Answer a few quick questions about groups of items. PLEASE DO ONLY ONE ""LANGUAGE GAME"" HIT!","psychology, language, game",$0.15 ,Tue Sep 04 17:54:52 GMT 2012,25,BatchId:900529;,3600,604800,Fri Sep 14 17:54:52 GMT 2012,,,2D7DEY5COW0LZK534HIFRC6Y6JI4VE,10,Approved,Wed Sep 05 08:29:15 GMT 2012,Wed Sep 05 08:31:36 GMT 2012,Wed Sep 12 01:31:36 PDT 2012,Fri Sep 07 15:17:04 PDT 2012,,,141,100% (2/2),100% (2/2),100% (2/2),A,asian_tutu,asian_tutu,box_headband_bandana,bandana,80,headband,130,11,headband,right,right,antenna_tire,antenna_tire,box_antenna_window,window,65,antenna,70,13,window,right,left,box_hat_wand,fancy_scraper,hat_scraper,hat,150,wand,150,12,wand,left,right,cone_tummy,box_antler_tummy,antler_tummy,antler,75,tummy,75,23,antler,center,left,100,0,2,1,50,50,1,1,33,67,2,3,25,75,1,3,,
