subid,gender,age_months,age group,order,set,item,type,target,novel word,comment,target train side,target test side,correct 
13,F,43,3,2,1,cat,filler,blue mask,keet,"wow, what a surprise!",L,R,1
13,F,43,3,2,2,robot,inference,antler,toma,how interesting!,L,L,1
13,F,43,3,2,3,dog,filler,red toy,zef,how neat!,R,L,1
13,F,43,3,2,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",R,R,1
13,F,43,3,2,5,cell phone,filler,green button,dax,"wow, what a surprise!",L,L,1
13,F,43,3,2,6,bear,inference,hat,fid,how interesting!,R,L,1
13,F,43,3,2,7,monkey,filler,yellow fruit,tupe,how neat!,R,R,1
13,F,43,3,2,8,rocket,inference,window,sep,"hmm, so silly! ",L,R,1
14,F,55,4,2,1,cat,filler,blue mask,keet,"wow, what a surprise!",L,R,1
14,F,55,4,2,2,robot,inference,antler,toma,how interesting!,L,L,1
14,F,55,4,2,3,dog,filler,red toy,zef,how neat!,R,L,1
14,F,55,4,2,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",R,R,1
14,F,55,4,2,5,cell phone,filler,green button,dax,"wow, what a surprise!",L,L,1
14,F,55,4,2,6,bear,inference,hat,fid,how interesting!,R,L,1
14,F,55,4,2,7,monkey,filler,yellow fruit,tupe,how neat!,R,R,1
14,F,55,4,2,8,rocket,inference,window,sep,"hmm, so silly! ",L,R,1
15,M,59,4,2,1,cat,filler,blue mask,keet,"wow, what a surprise!",L,R,1
15,M,59,4,2,2,robot,inference,antler,toma,how interesting!,L,L,0
15,M,59,4,2,3,dog,filler,red toy,zef,how neat!,R,L,1
15,M,59,4,2,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",R,R,1
15,M,59,4,2,5,cell phone,filler,green button,dax,"wow, what a surprise!",L,L,1
15,M,59,4,2,6,bear,inference,hat,fid,how interesting!,R,L,1
15,M,59,4,2,7,monkey,filler,yellow fruit,tupe,how neat!,R,R,1
15,M,59,4,2,8,rocket,inference,window,sep,"hmm, so silly! ",L,R,1
16,M,50,4,2,1,cat,filler,blue mask,keet,"wow, what a surprise!",L,R,1
16,M,50,4,2,2,robot,inference,antler,toma,how interesting!,L,L,1
16,M,50,4,2,3,dog,filler,red toy,zef,how neat!,R,L,1
16,M,50,4,2,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",R,R,1
16,M,50,4,2,5,cell phone,filler,green button,dax,"wow, what a surprise!",L,L,0
16,M,50,4,2,6,bear,inference,hat,fid,how interesting!,R,L,0
16,M,50,4,2,7,monkey,filler,yellow fruit,tupe,how neat!,R,R,0
16,M,50,4,2,8,rocket,inference,window,sep,"hmm, so silly! ",L,R,1
17,F,48,4,1,1,monkey,filler,yellow fruit,tupe,"wow, what a surprise!",L,L,1
17,F,48,4,1,2,rocket,inference,window,sep,how interesting!,R,L,1
17,F,48,4,1,3,dog,filler,red toy,zef,how neat!,L,R,1
17,F,48,4,1,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",L,L,0
17,F,48,4,1,5,cell phone,filler,green button,dax,"wow, what a surprise!",R,R,1
17,F,48,4,1,6,bear,inference,hat,fid,how interesting!,L,R,1
17,F,48,4,1,7,cat,filler,blue mask,keet,how neat!,R,L,1
17,F,48,4,1,8,robot,inference,antler,toma,"hmm, so silly! ",R,R,1
18,M,54,4,1,1,monkey,filler,yellow fruit,tupe,"wow, what a surprise!",L,L,1
18,M,54,4,1,2,rocket,inference,window,sep,how interesting!,R,L,1
18,M,54,4,1,3,dog,filler,red toy,zef,how neat!,L,R,1
18,M,54,4,1,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",L,L,1
18,M,54,4,1,5,cell phone,filler,green button,dax,"wow, what a surprise!",R,R,1
18,M,54,4,1,6,bear,inference,hat,fid,how interesting!,L,R,1
18,M,54,4,1,7,cat,filler,blue mask,keet,how neat!,R,L,1
18,M,54,4,1,8,robot,inference,antler,toma,"hmm, so silly! ",R,R,1
19,M,54,4,1,1,monkey,filler,yellow fruit,tupe,"wow, what a surprise!",L,L,1
19,M,54,4,1,2,rocket,inference,window,sep,how interesting!,R,L,1
19,M,54,4,1,3,dog,filler,red toy,zef,how neat!,L,R,1
19,M,54,4,1,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",L,L,1
19,M,54,4,1,5,cell phone,filler,green button,dax,"wow, what a surprise!",R,R,1
19,M,54,4,1,6,bear,inference,hat,fid,how interesting!,L,R,0
19,M,54,4,1,7,cat,filler,blue mask,keet,how neat!,R,L,1
19,M,54,4,1,8,robot,inference,antler,toma,"hmm, so silly! ",R,R,0
20,F,43,4,3,1,cell phone,filler,red button,dax,"wow, what a surprise!",L,R,1
20,F,43,4,3,2,dinosaur,inference,bandana,gabo,how interesting!,R,L,0
20,F,43,4,3,3,cat,filler,purple mask,keet,how neat!,L,L,1
20,F,43,4,3,4,robot,inference,tummy,toma,"hmm, so silly! ",L,R,1
20,F,43,4,3,5,monkey,filler,green fruit,tupe,"wow, what a surprise!",R,L,1
20,F,43,4,3,6,rocket,inference,antenna,sep,how interesting!,L,L,1
20,F,43,4,3,7,dog,filler,purple toy,zef,how neat!,R,R,1
20,F,43,4,3,8,bear,inference,wand,fid,"hmm, so silly! ",R,R,1
21,F,56,4,3,1,cell phone,filler,red button,dax,"wow, what a surprise!",L,R,1
21,F,56,4,3,2,dinosaur,inference,bandana,gabo,how interesting!,R,L,1
21,F,56,4,3,3,cat,filler,purple mask,keet,how neat!,L,L,1
21,F,56,4,3,4,robot,inference,tummy,toma,"hmm, so silly! ",L,R,1
21,F,56,4,3,5,monkey,filler,green fruit,tupe,"wow, what a surprise!",R,L,1
21,F,56,4,3,6,rocket,inference,antenna,sep,how interesting!,L,L,1
21,F,56,4,3,7,dog,filler,purple toy,zef,how neat!,R,R,1
21,F,56,4,3,8,bear,inference,wand,fid,"hmm, so silly! ",R,R,1
22,M,49,4,3,1,cell phone,filler,red button,dax,"wow, what a surprise!",L,R,1
22,M,49,4,3,2,dinosaur,inference,bandana,gabo,how interesting!,R,L,1
22,M,49,4,3,3,cat,filler,purple mask,keet,how neat!,L,L,1
22,M,49,4,3,4,robot,inference,tummy,toma,"hmm, so silly! ",L,R,1
22,M,49,4,3,5,monkey,filler,green fruit,tupe,"wow, what a surprise!",R,L,1
22,M,49,4,3,6,rocket,inference,antenna,sep,how interesting!,L,L,1
22,M,49,4,3,7,dog,filler,purple toy,zef,how neat!,R,R,1
22,M,49,4,3,8,bear,inference,wand,fid,"hmm, so silly! ",R,R,1
23,M,42,3,4,1,dog,filler,purple toy,zef,"wow, what a surprise!",L,L,1
23,M,42,3,4,2,bear,inference,wand,fid,how interesting!,L,L,1
23,M,42,3,4,3,cat,filler,purple mask,keet,how neat!,R,R,1
23,M,42,3,4,4,robot,inference,tummy,toma,"hmm, so silly! ",R,L,1
23,M,42,3,4,5,monkey,filler,green fruit,tupe,"wow, what a surprise!",L,R,1
23,M,42,3,4,6,rocket,inference,antenna,sep,how interesting!,R,R,1
23,M,42,3,4,7,cell phone,filler,red button,dax,how neat!,R,L,1
23,M,42,3,4,8,dinosaur,inference,bandana,gabo,"hmm, so silly! ",L,R,0
24,F,40,3,4,1,dog,filler,purple toy,zef,"wow, what a surprise!",L,L,0
24,F,40,3,4,2,bear,inference,wand,fid,how interesting!,L,L,0
24,F,40,3,4,3,cat,filler,purple mask,keet,how neat!,R,R,0
24,F,40,3,4,4,robot,inference,tummy,toma,"hmm, so silly! ",R,L,0
24,F,40,3,4,5,monkey,filler,green fruit,tupe,"wow, what a surprise!",L,R,1
24,F,40,3,4,6,rocket,inference,antenna,sep,how interesting!,R,R,1
24,F,40,3,4,7,cell phone,filler,red button,dax,how neat!,R,L,0
24,F,40,3,4,8,dinosaur,inference,bandana,gabo,"hmm, so silly! ",L,R,0
25,M,54,4,4,1,dog,filler,purple toy,zef,"wow, what a surprise!",L,L,1
25,M,54,4,4,2,bear,inference,wand,fid,how interesting!,L,L,1
25,M,54,4,4,3,cat,filler,purple mask,keet,how neat!,R,R,1
25,M,54,4,4,4,robot,inference,tummy,toma,"hmm, so silly! ",R,L,1
25,M,54,4,4,5,monkey,filler,green fruit,tupe,"wow, what a surprise!",L,R,1
25,M,54,4,4,6,rocket,inference,antenna,sep,how interesting!,R,R,1
25,M,54,4,4,7,cell phone,filler,red button,dax,how neat!,R,L,1
25,M,54,4,4,8,dinosaur,inference,bandana,gabo,"hmm, so silly! ",L,R,1
26,M,59,4,4,1,dog,filler,purple toy,zef,"wow, what a surprise!",L,L,0
26,M,59,4,4,2,bear,inference,wand,fid,how interesting!,L,L,1
26,M,59,4,4,3,cat,filler,purple mask,keet,how neat!,R,R,1
26,M,59,4,4,4,robot,inference,tummy,toma,"hmm, so silly! ",R,L,1
26,M,59,4,4,5,monkey,filler,green fruit,tupe,"wow, what a surprise!",L,R,1
26,M,59,4,4,6,rocket,inference,antenna,sep,how interesting!,R,R,1
26,M,59,4,4,7,cell phone,filler,red button,dax,how neat!,R,L,1
26,M,59,4,4,8,dinosaur,inference,bandana,gabo,"hmm, so silly! ",L,R,1
28,F,45,3,4,1,dog,filler,purple toy,zef,"wow, what a surprise!",L,L,1
28,F,45,3,4,2,bear,inference,wand,fid,how interesting!,L,L,1
28,F,45,3,4,3,cat,filler,purple mask,keet,how neat!,R,R,1
28,F,45,3,4,4,robot,inference,tummy,toma,"hmm, so silly! ",R,L,1
28,F,45,3,4,5,monkey,filler,green fruit,tupe,"wow, what a surprise!",L,R,1
28,F,45,3,4,6,rocket,inference,antenna,sep,how interesting!,R,R,1
28,F,45,3,4,7,cell phone,filler,red button,dax,how neat!,R,L,1
28,F,45,3,4,8,dinosaur,inference,bandana,gabo,"hmm, so silly! ",L,R,1
29,F,48,4,4,1,dog,filler,purple toy,zef,"wow, what a surprise!",L,L,1
29,F,48,4,4,2,bear,inference,wand,fid,how interesting!,L,L,1
29,F,48,4,4,3,cat,filler,purple mask,keet,how neat!,R,R,1
