subid,gender,age_months,age group,order,set,item,type,target,novel word,comment,target train side (child's perspective),target test side,correct 
1,M,50,4,1,1,monkey,filler,yellow fruit,tupe,"wow, what a surprise!",L,L,1
1,M,50,4,1,2,rocket,inference,window,sep,how interesting!,R,L,0
1,M,50,4,1,3,dog,filler,red toy,zef,how neat!,L,R,1
1,M,50,4,1,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",L,L,1
1,M,50,4,1,5,cell phone,filler,green button,dax,"wow, what a surprise!",R,R,1
1,M,50,4,1,6,bear,inference,hat,fid,how interesting!,L,R,1
1,M,50,4,1,7,cat,filler,blue mask,keet,how neat!,R,L,1
1,M,50,4,1,8,robot,inference,antler,toma,"hmm, so silly! ",R,R,1
2,F,54,4,1,1,monkey,filler,yellow fruit,tupe,"wow, what a surprise!",L,L,1
2,F,54,4,1,2,rocket,inference,window,sep,how interesting!,R,L,1
2,F,54,4,1,3,dog,filler,red toy,zef,how neat!,L,R,1
2,F,54,4,1,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",L,L,1
2,F,54,4,1,5,cell phone,filler,green button,dax,"wow, what a surprise!",R,R,1
2,F,54,4,1,6,bear,inference,hat,fid,how interesting!,L,R,1
2,F,54,4,1,7,cat,filler,blue mask,keet,how neat!,R,L,1
2,F,54,4,1,8,robot,inference,antler,toma,"hmm, so silly! ",R,R,1
3,M,47,3,1,1,monkey,filler,yellow fruit,tupe,"wow, what a surprise!",L,L,1
3,M,47,3,1,2,rocket,inference,window,sep,how interesting!,R,L,1
3,M,47,3,1,3,dog,filler,red toy,zef,how neat!,L,R,1
3,M,47,3,1,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",L,L,1
3,M,47,3,1,5,cell phone,filler,green button,dax,"wow, what a surprise!",R,R,1
3,M,47,3,1,6,bear,inference,hat,fid,how interesting!,L,R,0
3,M,47,3,1,7,cat,filler,blue mask,keet,how neat!,R,L,1
3,M,47,3,1,8,robot,inference,antler,toma,"hmm, so silly! ",R,R,1
4,F,43,3,1,1,monkey,filler,yellow fruit,tupe,"wow, what a surprise!",L,L,0
4,F,43,3,1,2,rocket,inference,window,sep,how interesting!,R,L,1
4,F,43,3,1,3,dog,filler,red toy,zef,how neat!,L,R,1
4,F,43,3,1,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",L,L,1
4,F,43,3,1,5,cell phone,filler,green button,dax,"wow, what a surprise!",R,R,1
4,F,43,3,1,6,bear,inference,hat,fid,how interesting!,L,R,1
4,F,43,3,1,7,cat,filler,blue mask,keet,how neat!,R,L,1
4,F,43,3,1,8,robot,inference,antler,toma,"hmm, so silly! ",R,R,1
5,F,40,3,1,1,monkey,filler,yellow fruit,tupe,"wow, what a surprise!",L,L,1
5,F,40,3,1,2,rocket,inference,window,sep,how interesting!,R,L,1
5,F,40,3,1,3,dog,filler,red toy,zef,how neat!,L,R,1
5,F,40,3,1,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",L,L,1
5,F,40,3,1,5,cell phone,filler,green button,dax,"wow, what a surprise!",R,R,0
5,F,40,3,1,6,bear,inference,hat,fid,how interesting!,L,R,1
5,F,40,3,1,7,cat,filler,blue mask,keet,how neat!,R,L,0
5,F,40,3,1,8,robot,inference,antler,toma,"hmm, so silly! ",R,R,1
6,F,49,4,1,1,monkey,filler,yellow fruit,tupe,"wow, what a surprise!",L,L,0
6,F,49,4,1,2,rocket,inference,window,sep,how interesting!,R,L,0
6,F,49,4,1,3,dog,filler,red toy,zef,how neat!,L,R,1
6,F,49,4,1,4,dinosaur,inference,headband,gabo,"hmm, so silly! ",L,L,0
6,F,49,4,1,5,cell phone,filler,green button,dax,"wow, what a surprise!",R,R,1
6,F,49,4,1,6,bear,inference,hat,fid,how interesting!,L,R,0
6,F,49,4,1,7,cat,filler,blue mask,keet,how neat!,R,L,1
6,F,49,4,1,8,robot,inference,antler,toma,"hmm, so silly! ",R,R,1
100,M,48,4,2,1,cat,filler,blue mask,keet,"wow, what a surprise!",L,R,1
