experimenter,location,study_name,SID,age_group,Order #,1: correct answer,1: child's answer,1 (ambiguous),2: correct answer,2: child's answer,2 (inference),3: correct answer,3: child's answer,3 (ambiguous),4: correct answer,4: child's answer,4 (inference),5: correct answer,5: child's answer,5 (ambiguous),6: correct answer,6: child's answer,6 (inference),7: correct answer,7: child's answer,7 (ambiguous),8: correct answer,8: child's answer,8 (inference),Notes
Janelle Klaas,CDM,INFO_DISAMBIG,2014_4_8_1,4.2,3,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_4_8_2,4.0,3,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,left,FALSE,left,left,TRUE,left,right,FALSE,right,right,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_4_8_3,3.8,3,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_4_8_4,3.9,3,right,left,FALSE,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,right,left,FALSE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_4_8_5,3.9,3,right,left,FALSE,left,right,FALSE,left,right,FALSE,right,right,TRUE,left,right,FALSE,left,left,TRUE,right,left,FALSE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_4_8_6,3.1,3,right,right,TRUE,left,right,FALSE,left,left,TRUE,right,right,TRUE,left,right,FALSE,left,right,FALSE,right,right,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_4_8_7,4.4,3,right,left,FALSE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,right,FALSE,left,right,FALSE,right,right,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_4_8_8,4.1,3,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_4_10_10,4.2,3,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,left,TRUE,right,left,FALSE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_4_10_11,3.9,3,right,right,TRUE,left,right,FALSE,left,left,TRUE,right,right,TRUE,left,right,FALSE,left,right,FALSE,right,right,TRUE,right,left,FALSE,
