experimenter,location,study_name,SID,age_group,Order #,1: correct answer,1: child's answer,1 (ambiguous),2: correct answer,2: child's answer,2 (inference),3: correct answer,3: child's answer,3 (ambiguous),4: correct answer,4: child's answer,4 (inference),5: correct answer,5: child's answer,5 (ambiguous),6: correct answer,6: child's answer,6 (inference),7: correct answer,7: child's answer,7 (ambiguous),8: correct answer,8: child's answer,8 (inference),Notes
Janelle Klaas,CDM,INFO_NOWORD,2014_4_21_2,3.8,4,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,right,TRUE,left,right,FALSE,left,left,TRUE,right,right,TRUE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_21_3,4.8,4,right,left,FALSE,right,right,TRUE,left,right,FALSE,right,right,TRUE,left,left,TRUE,left,right,FALSE,right,left,FALSE,left,left,TRUE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_21_4,4.4,4,right,left,FALSE,right,right,TRUE,left,right,FALSE,right,right,TRUE,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,left,TRUE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_21_5,3.3,4,right,left,FALSE,right,right,TRUE,left,right,FALSE,right,left,FALSE,left,right,FALSE,left,right,FALSE,right,left,FALSE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_21_6,4.6,4,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,left,TRUE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_21_7,4.9,4,right,right,TRUE,right,left,FALSE,left,right,FALSE,right,left,FALSE,left,right,FALSE,left,left,TRUE,right,left,FALSE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_21_8,4.7,4,right,right,TRUE,right,left,FALSE,left,left,TRUE,right,left,FALSE,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_21_9,3.9,4,right,right,TRUE,right,left,FALSE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,left,TRUE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_21_10,4.4,4,right,left,FALSE,right,left,FALSE,left,left,TRUE,right,left,FALSE,left,right,FALSE,left,left,TRUE,right,left,FALSE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_22_11,3.7,4,right,left,FALSE,right,right,TRUE,left,right,FALSE,right,right,TRUE,left,right,FALSE,left,left,TRUE,right,left,FALSE,left,left,TRUE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_22_12,3.5,4,right,left,FALSE,right,left,FALSE,left,right,FALSE,right,left,FALSE,left,left,TRUE,left,right,FALSE,right,left,FALSE,left,left,TRUE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_22_13,3.6,4,right,right,TRUE,right,left,FALSE,left,left,TRUE,right,right,TRUE,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_22_14,3.9,3,left,left,TRUE,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,left,FALSE,right,right,TRUE,left,left,TRUE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_22_15,3.5,3,left,left,TRUE,right,left,FALSE,right,right,TRUE,left,right,FALSE,right,left,FALSE,right,left,FALSE,left,left,TRUE,left,left,TRUE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_22_16,4.5,3,left,right,FALSE,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,right,TRUE,right,left,FALSE,left,left,TRUE,left,right,FALSE,
Janelle Klaas,CDM,INFO_NOWORD,2014_4_22_17,4.6,3,left,left,TRUE,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,left,FALSE,right,right,TRUE,left,left,TRUE,left,left,TRUE,
